item,sent_id,source,correct_sentence,correct_form,lemma,mutation_type,trigger_type,specific_trigger,token_id,prev_word,incorrect_form,incorrect_sentence,num_diffs
66,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",ddewis,dewis,SM,MS,i_plus_NP,11.0,golygyddion,dewis,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion dewis a dethol lle dylid anfon gohebwyr a chamerâu.",1
67,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",fod,bod,SM,L,gan,2.0,Gan,bod,"Gan bod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",1
68,22,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.",chamerâu,camera,AM,L,a,19.0,a,camerâu,"Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a camerâu.",1
69,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,theledu,teledu,AM,L,a,7.0,a,teledu,Bydd gan y rhaglenni radio a teledu ohebwyr ym mhob etholaeth.,1
70,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,ohebwyr,gohebwr,SM,MS,non_normal_word_order,8.0,theledu,gohebwyr,Bydd gan y rhaglenni radio a theledu gohebwyr ym mhob etholaeth.,1
71,23,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.,mhob,pobl,NM,L,ym,10.0,ym,pob,Bydd gan y rhaglenni radio a theledu ohebwyr ym pob etholaeth.,1
72,24,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",ran,rhan,SM,L,ar,2.0,Ar,rhan,"Ar rhan BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",1
73,24,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",longyfarch,llongyfarch,SM,MS,direct_object_mutation,6.0,hoffwn,llongyfarch,"Ar ran BBC Cymru, hoffwn llongyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",1
74,24,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",gynnes,cynnes,SM,MS,yn_complement_adj_noun,9.0,yn,cynnes,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn cynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",1
75,24,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",gyhoeddi,cyhoeddi,SM,MS,i_plus_NP,12.0,iddo,cyhoeddi,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo cyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",1
76,24,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.",ddiwedd,diwedd,SM,L,ar,16.0,ar,diwedd,"Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar diwedd gyrfa eithriadol.",1
77,25,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",darlledu,darlledu,no_NM,no_mutation,no_mutation,11.0,a,narlledu,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a narlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",1
78,25,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",gyfraniad,cyfraniad,SM,L,am,5.0,am,cyfraniad,"Diolch o galon am cyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",1
79,25,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",Nghymru,Cymru,NM,L,yng,13.0,yng,Cymru,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Cymru, a dymuniadau gorau i'r dyfodol.",1
80,25,https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo,"Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",galon,calon,SM,L,o,3.0,o,calon,"Diolch o calon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.",1
81,26,https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no,Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.,allu,gallu,SM,L,am,9.0,ar,gallu,Mae e'n honni bod mewnfudo yn effeithio ar gallu ysgolion i addysgu'r Gymraeg ym Mangor.,1
82,26,https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no,Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.,Gymraeg,Cymraeg,SM,MS,def_art_fem_sing_noun,13.0,addysgu'r,Cymraeg,Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Cymraeg ym Mangor.,1
83,26,https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no,Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.,Mangor,Bangor,NM,L,ym,15.0,ym,Bangor,Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Bangor.,1
84,27,https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no,Maen nhw wir yn ei chael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.,chael,cael,AM,L,ei,6.0,ei,cael,Maen nhw wir yn ei cael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.,1
85,27,https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no,Maen nhw wir yn ei chael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.,wir,gwir,SM,MS,adverb_time_place_manner,3.0,nhw,gwir,Maen nhw gwir yn ei chael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.,1
86,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,Cymru,Cymru,no_AM,no_mutation,no_mutation,10.0,Gorllewin,Chymru,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Chymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,1
87,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,weithiodd,gweithio,SM,L,fe,2.0,Fe,gweithiodd,Fe gweithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,1
88,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,fynd,mynd,SM,L,i,12.0,i,mynd,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i mynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,1
89,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,afael,gafael,SM,MS,def_art_fem_sing_noun,14.0,i'r,gafael,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r gafael â thân yn ardal Cwm Elan ym Mhowys.,1
90,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,thân,tân,AM,L,â,16.0,â,tân,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â tân yn ardal Cwm Elan ym Mhowys.,1
91,28,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.,Mhowys,Powys,NM,L,ym,22.0,ym,Powys,Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Powys.,1
92,29,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,"Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.",phenwythnos,penwythnos,AM,L,gyda,2.0,Gyda,penwythnos,"Gyda penwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.",1
93,29,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,"Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.",gymryd,cymryd,SM,L,i,13.0,i,cymryd,"Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i cymryd y risg hon o ddifrif.",1
94,29,https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o,"Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.",ddifrif,difrif,SM,L,o,18.0,o,difrif,"Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o difrif.",1
95,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",ddangos,dangos,SM,MS,direct_object_mutation,2.0,Gwrthododd,dangos,"Gwrthododd dangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",1
96,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",ddwylo,dwylo,SM,L,ei,4.0,ei,dwylo,"Gwrthododd ddangos ei dwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",1
97,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",dreisgar,treisgar,SM,MS,yn_complement_adj_noun,7.0,yn,treisgar,"Gwrthododd ddangos ei ddwylo, roedd yn treisgar a pharhaodd i fod yn fygythiad clir.",1
98,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",pharhaodd,parhaodd,AM,L,a,9.0,a,parhaodd,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a parhaodd i fod yn fygythiad clir.",1
99,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",fod,bod,SM,L,i,11.0,i,bod,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i bod yn fygythiad clir.",1
100,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",clir,clir,no_AM,no_mutation,no_mutation,14.0,fygythiad,chlir,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad chlir.",1
101,30,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.",fygythiad,mygythiad,SM,MS,yn_complement_adj_noun,13.0,yn,mygythiad,"Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn mygythiad clir.",1
102,31,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.,gydweithwyr,cydweithwr,SM,L,i,6.0,a'i,cydweithwyr,Rwy'n gwybod bod David a'i cydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.,1
103,31,https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o,Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.,Nghynulliad,Cynulliad,NM,L,yng,9.0,yng,Cynulliad,Rwy'n gwybod bod David a'i gydweithwyr eraill yng Cynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.,1
104,32,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",Fis,mis,SM,MS,adverb_time_place_manner,1.0,,Mis,"Mis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",1
105,32,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",farw,marw,SM,MS,direct_object_mutation,4.0,bu,marw,"Fis Ebrill bu marw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",1
106,32,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",Mhatagonia,Patagonia,NM,L,ym,13.0,ym,Patagonia,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Patagonia yn 92 mlwydd oed.",1
107,32,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.",mlwydd,blwydd,NM,L,92,16.0,92,blwydd,"Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 blwydd oed.",1
108,33,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.",fu,bu,SM,L,fe,,,bu,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe bu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.",1
109,33,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.",Nyffryn,dyffryn,NM,L,yn,15.0,yn,Dyffryn,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Dyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.",1
110,33,https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.",Chapel,capel,AM,L,a,22.0,a,Capel,"Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Capel Newydd gerllaw.",1
111,34,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.,olwg,golwg,SM,L,dyma,2.0,Dyma,golwg,Dyma golwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.,1
112,34,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.,Chasnewydd,Casnewydd,AM,L,a,10.0,a,Casnewydd,Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Casnewydd.,1
113,35,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.,frwydr,brwydr,SM,MS,def_art_fem_sing_noun,2.0,Mae'r,brwydr,Mae'r brwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.,1
114,35,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.,mhyramid,pyramid,NM,L,ym,6.0,ym,pyramid,Mae'r frwydr i aros ym pyramid y gynghrair i lawr i'r diwrnod olaf.,1
115,35,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.,gynghrair,cynghrair,SM,MS,def_art_fem_sing_noun,8.0,y,cynghrair,Mae'r frwydr i aros ym mhyramid y cynghrair i lawr i'r diwrnod olaf.,1
116,35,https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo,Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.,lawr,llawr,SM,L,i,10.0,i,llawr,Mae'r frwydr i aros ym mhyramid y gynghrair i llawr i'r diwrnod olaf.,1
117,36,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.",fwyaf,mwyaf,SM,MS,def_art_fem_sing_noun,9.0,yw'r,mwyaf,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r mwyaf yn nhermau ei hardal ddaearyddol.",1
118,36,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.",nhermau,termau,NM,L,yn,11.0,yn,termau,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn termau ei hardal ddaearyddol.",1
119,36,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.",ddaearyddol,daearyddol,SM,MS,fem_sing_noun_modifier,14.0,hardal,daearyddol,"Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal daearyddol.",1
120,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,nghadarnleoedd,cadarnleoedd,NM,L,yng,4.0,yng,cadarnleoedd,Mae cymunedau yng cadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,1
121,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,Gymraeg,Cymraeg,SM,MS,fem_sing_noun_modifier,7.0,iaith,Cymraeg,Mae cymunedau yng nghadarnleoedd yr iaith Cymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,1
122,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,bobl,pobl,SM,MS,def_art_fem_sing_noun,12.0,mae'r,pobl,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r pobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,1
123,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,Loegr,Lloegr,SM,L,i,16.0,i,Lloegr,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Lloegr i siopa a chael mynediad at wasanaethau.,1
124,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,chael,cael,AM,L,a,20.0,a,cael,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a cael mynediad at wasanaethau.,1
125,37,https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.,wasanaethau,gwasanaeth,SM,L,at,23.0,at,gwasanaethau,Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at gwasanaethau.,1
126,38,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",thîm,tìm,AM,L,â,2.0,Â,tîm,"Â tîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",1
127,38,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",Mhencampwriaeth,pencampwriaeth,NM,L,ym,8.0,ym,Pencampwriaeth,"Â thîm rygbi merched Cymru'n cystadlu ym Pencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",1
128,38,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",gwylio,gwylio,no_NM,no_mutation,no_mutation,22.0,i'w,ngwylio,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w ngwylio.",1
129,38,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",gyfres,cyfres,SM,MS,def_art_fem_sing_noun,17.0,mae'r,cyfres,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r cyfres gyntaf ar gael i'w gwylio.",1
130,38,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.",gyntaf,cyntaf,SM,MS,fem_sing_noun_modifier,18.0,gyfres,cyntaf,"Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres cyntaf ar gael i'w gwylio.",1
131,39,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.",gyfrol,cyfrol,SM,MS,def_art_fem_sing_noun,8.0,y,cyfrol,"Ond Amdani, nofel i oedolion, oedd y cyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.",1
132,39,https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o,"Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.",gyntaf,cyntaf,SM,MS,fem_sing_noun_modifier,9.0,gyfrol,cyntaf,"Ond Amdani, nofel i oedolion, oedd y gyfrol cyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.",1
