item;sent_id;source;correct_sentence;sentence_en;correct_form;lemma;mutation_type;trigger_type;specific_trigger
0;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;phasio;pasio;AM;L;ei
1;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;mhob;pob;NM;L;ym
2;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;gydfynd;cydfynd;SM;L;i
3;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;cael;cael;no_AM;no_mutation;no_mutation
4;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;gymuned;cymuned;SM;MS;num_fem_sing_noun
5;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;nghanol;canol;NM;L;yng
6;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;rhan;rhan;no_SM;no_mutation;no_mutation
7;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;wahodd;gwahodd;SM;MS;direct_object_mutation
8;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;gred;crec;SM;MS;def_art_fem_sing_noun
9;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;bresennol;presennol;SM;MS;fem_sing_noun_modifier
10;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;chapasiti;capasiti;AM;L;â
11;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;bweru;pweru;SM;L;i
12;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;The largest project in progress is the Alaw Môn solar farm on Anglesey, which will be 660 acres in size;prosiect;prosiect;no_AM;no_mutation;no_mutation
13;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;The largest project in progress is the Alaw Môn solar farm on Anglesey, which will be 660 acres in size;fydd;bod;SM;MS;relative_zero_trigger
14;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;Fis;mis;SM;MS;adverb_time_place_manner
15;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;cyntaf;cyntaf;no_AM;no_mutation;no_mutation
16;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;gipiodd;cipio;SM;L;fe
17;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;Nghyngres;cyngres;NM;L;yng
18;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;Gwpan;cwpan;SM;MS;direct_object_mutation
19;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;ddechrau;dechrau;SM;MS;adverb_time_place_manner
20;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;chyn;cyn;AM;L;a
21;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;Cymru;Cymru;no_AM;no_mutation;no_mutation
22;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;gafodd;cael;SM;L;fe
23;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;The team won the Welsh Youth Cup at the beginning of April and before the end of the month the women's team were crowned champions.;bencampwyr;pencampwr;SM;MS;yn_complement_adj_noun
24;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;In 1911, he won the gold medal of the Royal Academy - the youngest ever artist at the time, and the first from Wales;fedal;medal;SM;MS;direct_object_mutation
25;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;In 1911, he won the gold medal of the Royal Academy - the youngest ever artist at the time, and the first from Wales;Frenhinol;brenhinol;SM;MS;fem_sing_noun_modifier
26;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;In 1911, he won the gold medal of the Royal Academy - the youngest ever artist at the time, and the first from Wales;pryd;pryd;no_AM;no_mutation;no_mutation
27;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;In 1911, he won the gold medal of the Royal Academy - the youngest ever artist at the time, and the first from Wales;Gymru;Cymru;SM;L;o
28;7;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei phenodi yn artist rhyfel.;During the First World War, she asked the Minister for War, David Lloyd George, if she would be appointed a war artist.;phenodi;penodi;AM;L;ei
29;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;This reminds me of my childhood and means a lot to local people too.;mhlentyndod;plentyndod;NM;L;fy
30;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;This reminds me of my childhood and means a lot to local people too.;bobl;pobl;SM;L;i
31;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;This reminds me of my childhood and means a lot to local people too.;leol;lleol;SM;MS;fem_sing_noun_modifier
32;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Dafydd made a dream come true and passed his bus driving test and got to drive a bus himself.;bws;bws;no_SM;no_mutation;no_mutation
33;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Dafydd made a dream come true and passed his bus driving test and got to drive a bus himself.;Wnaeth;gwneud;SM;MS;inflected_zero_trigger
34;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Dafydd made a dream come true and passed his bus driving test and got to drive a bus himself.;wireddu;gwireddu;SM;MS;direct_object_mutation
35;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Dafydd made a dream come true and passed his bus driving test and got to drive a bus himself.;phasio;pasio;AM;L;a
36;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Dafydd made a dream come true and passed his bus driving test and got to drive a bus himself.;chael;cael;AM;L;a
37;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;The Hwb y Gors project has grown and grown, and they have now opened a new centre.;canolfan;canolfan;no_SM;no_mutation;no_mutation
38;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;The Hwb y Gors project has grown and grown, and they have now opened a new centre.;tyfu;tyfu;no_AM;no_mutation;no_mutation
39;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;The Hwb y Gors project has grown and grown, and they have now opened a new centre.;thyfu;tyfu;AM;L;a
40;11;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;Some have questioned how many people care about the climate now with the cost of living dominating the conversations.;poeni;poeni;no_SM;no_mutation;no_mutation
41;11;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;Some have questioned how many people care about the climate now with the cost of living dominating the conversations.;chostau;cost;AM;L;gyda
42;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;Capel Jewin in east London is one of the few remaining Welsh speaking chapels in the city.;nwyrain;dwyrain;NM;L;yn
43;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;Capel Jewin in east London is one of the few remaining Welsh speaking chapels in the city.;gapeli;capeli;SM;L;ychydig
44;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;Capel Jewin in east London is one of the few remaining Welsh speaking chapels in the city.;ddinas;dinas;SM;MS;def_art_fem_sing_noun
45;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;There are pictures of a very troubled past - but after the massacre another chapel was built.;luniau;llun;SM;MS;non_normal_word_order
46;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;There are pictures of a very troubled past - but after the massacre another chapel was built.;cythryblus;cythyrblus;no_AM;no_mutation;no_mutation
47;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;There are pictures of a very troubled past - but after the massacre another chapel was built.;orffenol;gorffenol;SM;L;o
48;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;There are pictures of a very troubled past - but after the massacre another chapel was built.;gyflafan;cyflafan;SM;MS;def_art_fem_sing_noun
49;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;There are pictures of a very troubled past - but after the massacre another chapel was built.;godwyd;codwyd;SM;L;fe
50;14;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd adrannau sydd â pherfformiad isel o ran y Gymraeg yn cael cynnig hyfforddiant ychwanegol.;Departments with a low performance in terms of the Welsh language will be offered additional training.;pherfformiad;perfformiad;AM;L;â
51;15;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.;A new policy will try to increase the use of the Welsh language among our staff and councillors.;Gymraeg;Cymraeg;SM;MS;def_art_fem_sing_noun
52;15;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.;A new policy will try to increase the use of the Welsh language among our staff and councillors.;chynghorwyr;cynghorwyr;AM;L;a
53;16;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Mae gyda hi syndrom ofari polycystig (PCOS), sydd wedi cael effaith ar ei phwysau.;She has polycystic ovary syndrome (PCOS), which has had an effect on her weight.;phwysau;pwysau;AM;L;ei
54;17;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.;Bethan said that it is not practical for her to pay for the treatment in the long term.;dalu;talu;SM;MS;i_plus_NP
55;17;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.;Bethan said that it is not practical for her to pay for the treatment in the long term.;driniaeth;triniaeth;SM;MS;def_art_fem_sing_noun
56;18;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.;He was responsible for the research in conjunction with Swansea University.;gyfrifol;cyfrifol;SM;MS;yn_complement_adj_noun
57;18;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.;He was responsible for the research in conjunction with Swansea University.;Phrifysgol;prifysgol;AM;L;â
58;19;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.;The team's research has been published in the journal Global Ecology and Conservation.;gyhoeddi;cyhoeddi;SM;L;i
59;19;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.;The team's research has been published in the journal Global Ecology and Conservation.;nghyfnodolyn;cyfnodolyn;NM;L;yng
60;20;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae strwythurau diogelu'r amgylchedd yng Ngwent wedi'u cryfhau.;Environmental protection structures in Gwent have been strengthened.;Ngwent;Gwent;NM;L;yng
61;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;The Green Party manifesto says maintenance is the priority.;Blaid;plaid;SM;MS;def_art_fem_sing_noun
62;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;The Green Party manifesto says maintenance is the priority.;chadw;cadw;AM;L;a
63;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;The Green Party manifesto says maintenance is the priority.;cynnal;cynnal;no_AM;no_mutation;no_mutation
64;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;The Green Party manifesto says maintenance is the priority.;flaenoriaeth;blaenoriaeth;SM;MS;def_art_fem_sing_noun
65;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;As there were so many constituencies, the editors had to pick and choose where reporters and cameras should be sent.;gohebwyr;gohebwr;no_NM;no_mutation;no_mutation
66;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;As there were so many constituencies, the editors had to pick and choose where reporters and cameras should be sent.;ddewis;dewis;SM;MS;i_plus_NP
67;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;As there were so many constituencies, the editors had to pick and choose where reporters and cameras should be sent.;fod;bod;SM;L;gan
68;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;As there were so many constituencies, the editors had to pick and choose where reporters and cameras should be sent.;chamerau;camera;AM;L;a
69;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;The radio and television programs will have reporters in each constituency.;theledu;teledu;AM;L;a
70;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;The radio and television programs will have reporters in each constituency.;ohebwyr;gohebwr;SM;MS;non_normal_word_order
71;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;The radio and television programs will have reporters in each constituency.;mhob;pobl;NM;L;ym
72;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;On behalf of BBC Wales, I would like to warmly congratulate Dewi as he announces his retirement at the end of an exceptional career.;ran;rhan;SM;L;ar
73;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;On behalf of BBC Wales, I would like to warmly congratulate Dewi as he announces his retirement at the end of an exceptional career.;longyfarch;llongyfarch;SM;MS;direct_object_mutation
74;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;On behalf of BBC Wales, I would like to warmly congratulate Dewi as he announces his retirement at the end of an exceptional career.;gynnes;cynnes;SM;MS;yn_complement_adj_noun
