item;sent_id;source;correct_sentence;correct_form;lemma;mutation_type;trigger_type;specific_trigger
0;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;phasio;pasio;AM;L;ei
1;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;mhob;pob;NM;L;ym
2;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;gydfynd;cydfynd;SM;L;i
3;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;cael;cael;no_AM;no_mutation;no_mutation
4;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;gymuned;cymuned;SM;MS;num_fem_sing_noun
5;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;nghanol;canol;NM;L;yng
6;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;rhan;rhan;no_SM;no_mutation;no_mutation
7;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;wahodd;gwahodd;SM;MS;direct_object_mutation
8;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;gred;crec;SM;MS;def_art_fem_sing_noun
9;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;bresennol;presennol;SM;MS;fem_sing_noun_modifier
10;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;chapasiti;capasiti;AM;L;â
11;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;bweru;pweru;SM;L;i
12;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;prosiect;prosiect;no_AM;no_mutation;no_mutation
13;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;fydd;bod;SM;MS;relative_zero_trigger
14;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Fis;mis;SM;MS;adverb_time_place_manner
15;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;cyntaf;cyntaf;no_AM;no_mutation;no_mutation
16;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;gipiodd;cipio;SM;L;fe
17;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Nghyngres;cyngres;NM;L;yng
18;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;Gwpan;cwpan;SM;MS;direct_object_mutation
19;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;ddechrau;dechrau;SM;MS;adverb_time_place_manner
20;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;chyn;cyn;AM;L;a
21;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;Cymru;Cymru;no_AM;no_mutation;no_mutation
22;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;gafodd;cael;SM;L;fe
23;5;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Enillodd y tîm Gwpan Ieuenctid Cymru ddechrau Ebrill a chyn diwedd y mis fe gafodd y tîm merched eu coroni'n bencampwyr.;bencampwyr;pencampwr;SM;MS;yn_complement_adj_noun
24;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;fedal;medal;SM;MS;direct_object_mutation
25;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;Frenhinol;brenhinol;SM;MS;fem_sing_noun_modifier
26;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;pryd;pryd;no_AM;no_mutation;no_mutation
27;6;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn 1911, enillodd fedal aur yr Academi Frenhinol – yr artist ieuengaf erioed ar y pryd, a'r cyntaf o Gymru;Gymru;Cymru;SM;L;o
28;7;https://www.bbc.com/cymrufyw/erthyglau/c05drnrq3d6o;Yn ystod y Rhyfel Byd Cyntaf, gofynnodd hi i'r Gweinidog Rhyfel, David Lloyd George, os y câi ei phenodi yn artist rhyfel.;phenodi;penodi;AM;L;ei
29;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;mhlentyndod;plentyndod;NM;L;fy
30;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;bobl;pobl;SM;L;i
31;8;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Mae hwn yn fy atgoffa o fy mhlentyndod ac yn golygu lot i bobl leol hefyd.;leol;lleol;SM;MS;fem_sing_noun_modifier
32;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;bws;bws;no_SM;no_mutation;no_mutation
33;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;Wnaeth;gwneud;SM;MS;inflected_zero_trigger
34;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;wireddu;gwireddu;SM;MS;direct_object_mutation
35;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;phasio;pasio;AM;L;a
36;9;https://www.bbc.com/cymrufyw/erthyglau/ce8p08m35pxo;Wnaeth Dafydd wireddu breuddwyd a phasio ei brawf gyrru bysiau a chael gyrru bws ei hun.;chael;cael;AM;L;a
37;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;canolfan;canolfan;no_SM;no_mutation;no_mutation
38;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;tyfu;tyfu;no_AM;no_mutation;no_mutation
39;10;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae prosiect Hwb y Gors wedi tyfu a thyfu, ac maen nhw bellach wedi agor canolfan newydd.;thyfu;tyfu;AM;L;a
40;11;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;poeni;poeni;no_SM;no_mutation;no_mutation
41;11;https://www.bbc.com/cymrufyw/erthyglau/cvgz5g1d5zpo;Mae rhai wedi cwestiynu faint sy'n poeni am yr hinsawdd erbyn hyn gyda chostau byw'n dominyddu'r sgyrsiau.;chostau;cost;AM;L;gyda
42;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;nwyrain;dwyrain;NM;L;yn
43;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;gapeli;capeli;SM;L;ychydig
44;12;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae Capel Jewin yn nwyrain Llundain yn un o'r ychydig gapeli Cymraeg sydd ar ôl yn y ddinas.;ddinas;dinas;SM;MS;def_art_fem_sing_noun
45;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;luniau;llun;SM;MS;non_normal_word_order
46;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;cythryblus;cythyrblus;no_AM;no_mutation;no_mutation
47;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;orffennol;gorffennol;SM;L;o
48;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;gyflafan;cyflafan;SM;MS;def_art_fem_sing_noun
49;13;https://www.bbc.com/cymrufyw/erthyglau/c7v9519jy8po;Mae 'na luniau o orffennol cythryblus iawn - ond wedi'r gyflafan fe godwyd capel arall.;godwyd;codwyd;SM;L;fe
50;14;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd adrannau sydd â pherfformiad isel o ran y Gymraeg yn cael cynnig hyfforddiant ychwanegol.;pherfformiad;perfformiad;AM;L;â
51;15;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.;Gymraeg;Cymraeg;SM;MS;def_art_fem_sing_noun
52;15;https://www.bbc.com/cymrufyw/erthyglau/cn0p1xz4jd1o;Bydd polisi newydd yn ceisio cynyddu'r defnydd o'r Gymraeg ymysgn staff a chynghorwyr.;chynghorwyr;cynghorwyr;AM;L;a
53;16;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Mae gyda hi syndrom ofari polycystig (PCOS), sydd wedi cael effaith ar ei phwysau.;phwysau;pwysau;AM;L;ei
54;17;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.;dalu;talu;SM;MS;i_plus_NP
55;17;https://www.bbc.com/cymrufyw/erthyglau/c79jp7g02ldo;Dywedodd Bethan nad yw'n ymarferol iddi dalu am y driniaeth yn y tymor hir.;driniaeth;triniaeth;SM;MS;def_art_fem_sing_noun
56;18;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.;gyfrifol;cyfrifol;SM;MS;yn_complement_adj_noun
57;18;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Oedd e'n gyfrifol am yr ymchwil ar y cyd â Phrifysgol Abertawe.;Phrifysgol;prifysgol;AM;L;â
58;19;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.;gyhoeddi;cyhoeddi;SM;L;i
59;19;https://www.bbc.com/cymrufyw/erthyglau/c3e29x99y10o;Mae ymchwil y tîm wedi'i gyhoeddi yng nghyfnodolyn Global Ecology and Conservation.;nghyfnodolyn;cyfnodolyn;NM;L;yng
60;20;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae strwythurau diogelu'r amgylchedd yng Ngwent wedi'u cryfhau.;Ngwent;Gwent;NM;L;yng
61;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;Blaid;plaid;SM;MS;def_art_fem_sing_noun
62;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;chadw;cadw;AM;L;a
63;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;cynnal;cynnal;no_AM;no_mutation;no_mutation
64;21;https://www.bbc.com/cymrufyw/erthyglau/c302pl8mv7po;Mae maniffesto'r Blaid Werdd yn dweud mai cynnal a chadw yw'r flaenoriaeth.;flaenoriaeth;blaenoriaeth;SM;MS;def_art_fem_sing_noun
65;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;gohebwyr;gohebwr;no_NM;no_mutation;no_mutation
66;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;ddewis;dewis;SM;MS;i_plus_NP
67;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;fod;bod;SM;L;gan
68;22;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Gan fod cymaint o etholaethau, roedd yn rhaid i'r golygyddion ddewis a dethol lle dylid anfon gohebwyr a chamerâu.;chamerâu;camera;AM;L;a
69;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;theledu;teledu;AM;L;a
70;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;ohebwyr;gohebwr;SM;MS;non_normal_word_order
71;23;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Bydd gan y rhaglenni radio a theledu ohebwyr ym mhob etholaeth.;mhob;pobl;NM;L;ym
72;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;ran;rhan;SM;L;ar
73;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;longyfarch;llongyfarch;SM;MS;direct_object_mutation
74;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;gynnes;cynnes;SM;MS;yn_complement_adj_noun
75;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;gyhoeddi;cyhoeddi;SM;MS;i_plus_NP
76;24;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Ar ran BBC Cymru, hoffwn longyfarch Dewi yn gynnes wrth iddo gyhoeddi ei ymddeoliad ar ddiwedd gyrfa eithriadol.;ddiwedd;diwedd;SM;L;ar
77;25;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.;darlledu;darlledu;no_NM;no_mutation;no_mutation
78;25;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.;gyfraniad;cyfraniad;SM;L;am
79;25;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.;Nghymru;Cymru;NM;L;yng
80;25;https://www.bbc.com/cymrufyw/erthyglau/cn9pl9edxdqo;Diolch o galon am gyfraniad arbennig iawn i newyddiaduraeth a darlledu yng Nghymru, a dymuniadau gorau i'r dyfodol.;galon;calon;SM;L;o
81;26;https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no;Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.;allu;gallu;SM;L;am
82;26;https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no;Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.;Gymraeg;Cymraeg;SM;MS;def_art_fem_sing_noun
83;26;https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no;Mae e'n honni bod mewnfudo yn effeithio ar allu ysgolion i addysgu'r Gymraeg ym Mangor.;Mangor;Bangor;NM;L;ym
84;27;https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no;Maen nhw wir yn ei chael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.;chael;cael;AM;L;ei
85;27;https://www.bbc.com/cymrufyw/erthyglau/crrp9z7nd8no;Maen nhw wir yn ei chael hi'n anodd ymdopi gyda'r nifer yna o ieithoedd newydd.;wir;gwir;SM;MS;adverb_time_place_manner
86;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;Cymru;Cymru;no_AM;no_mutation;no_mutation
87;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;weithiodd;gweithio;SM;L;fe
88;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;fynd;mynd;SM;L;i
89;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;afael;gafael;SM;MS;def_art_fem_sing_noun
90;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;thân;tân;AM;L;â
91;28;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Fe weithiodd Gwasanaeth Tân ac Achub Canolbarth a Gorllewin Cymru i fynd i'r afael â thân yn ardal Cwm Elan ym Mhowys.;Mhowys;Powys;NM;L;ym
92;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;phenwythnos;penwythnos;AM;L;gyda
93;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;gymryd;cymryd;SM;L;i
94;29;https://www.bbc.com/cymrufyw/erthyglau/ckgpvn79ye8o;Gyda phenwythnos gŵyl y banc yn agosáu, rydym yn annog pawb i gymryd y risg hon o ddifrif.;ddifrif;difrif;SM;L;o
95;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;ddangos;dangos;SM;MS;direct_object_mutation
96;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;ddwylo;dwylo;SM;L;ei
97;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;dreisgar;treisgar;SM;MS;yn_complement_adj_noun
98;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;pharhaodd;parhaodd;AM;L;a
99;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;fod;bod;SM;L;i
