item;sent_id;source;correct_sentence;correct_form;lemma;mutation_type;trigger_type;specific_trigger
100;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;clir;clir;no_AM;no_mutation;no_mutation
101;30;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Gwrthododd ddangos ei ddwylo, roedd yn dreisgar a pharhaodd i fod yn fygythiad clir.;fygythiad;mygythiad;SM;MS;yn_complement_adj_noun
102;31;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.;gydweithwyr;cydweithwr;SM;L;i
103;31;https://www.bbc.com/cymrufyw/erthyglau/czj27yx84y2o;Rwy'n gwybod bod David a'i gydweithwyr eraill yng Nghynulliad Llundain yn gweithio'n agos gyda Heddlu'r Met.;Nghynulliad;Cynulliad;NM;L;yng
104;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;Fis;mis;SM;MS;adverb_time_place_manner
105;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;farw;marw;SM;MS;direct_object_mutation
106;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;Mhatagonia;Patagonia;NM;L;ym
107;32;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Fis Ebrill bu farw Siôn, gofalwr Capel Newydd ger y Gaiman ym Mhatagonia yn 92 mlwydd oed.;mlwydd;blwydd;NM;L;92
108;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;fu;bu;SM;L;fe
109;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;Nyffryn;dyffryn;NM;L;yn
110;33;https://www.bbc.com/cymrufyw/erthyglau/c4g4587w9x2o;Ffermio oedd bywoliaeth Siôn hefyd, ac fe fu'n byw yn yr un ardal yn Nyffryn Coch ar hyd ei oes, a Chapel Newydd gerllaw.;Chapel;capel;AM;L;a
111;34;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.;olwg;golwg;SM;L;dyma
112;34;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Dyma olwg ar yr hyn sy'n wynebu Wrecsam a Chasnewydd.;Chasnewydd;Casnewydd;AM;L;a
113;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;frwydr;brwydr;SM;MS;def_art_fem_sing_noun
114;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;mhyramid;pyramid;NM;L;ym
115;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;gynghrair;cynghrair;SM;MS;def_art_fem_sing_noun
116;35;https://www.bbc.com/cymrufyw/erthyglau/cgrp0077w4wo;Mae'r frwydr i aros ym mhyramid y gynghrair i lawr i'r diwrnod olaf.;lawr;llawr;SM;L;i
117;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;fwyaf;mwyaf;SM;MS;def_art_fem_sing_noun
118;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;nhermau;termau;NM;L;yn
119;36;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Ymhlith 16 o etholaethau newydd, Gwynedd Maldwyn yw'r fwyaf yn nhermau ei hardal ddaearyddol.;ddaearyddol;daearyddol;SM;MS;fem_sing_noun_modifier
120;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;nghadarnleoedd;cadarnleoedd;NM;L;yng
121;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;Gymraeg;Cymraeg;SM;MS;fem_sing_noun_modifier
122;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;bobl;pobl;SM;MS;def_art_fem_sing_noun
123;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;Loegr;Lloegr;SM;L;i
124;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;chael;cael;AM;L;a
125;37;https://www.bbc.com/cymrufyw/erthyglau/cj0p4d21j73o;Mae cymunedau yng nghadarnleoedd yr iaith Gymraeg a rhai lle mae'r bobl yn mynd i Loegr i siopa a chael mynediad at wasanaethau.;wasanaethau;gwasanaeth;SM;L;at
126;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;thîm;tìm;AM;L;â
127;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;Mhencampwriaeth;pencampwriaeth;NM;L;ym
128;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;gwylio;gwylio;no_NM;no_mutation;no_mutation
129;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;gyfres;cyfres;SM;MS;def_art_fem_sing_noun
130;38;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Â thîm rygbi merched Cymru'n cystadlu ym Mhencampwriaeth y Chwe Gwlad ar hyn o bryd, mae'r gyfres gyntaf ar gael i'w gwylio.;gyntaf;cyntaf;SM;MS;fem_sing_noun_modifier
131;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;gyfrol;cyfrol;SM;MS;def_art_fem_sing_noun
132;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;gyntaf;cyntaf;SM;MS;fem_sing_noun_modifier
133;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;gyhoeddi;cyhoeddi;SM;MS;i_plus_NP
134;39;https://www.bbc.com/cymrufyw/erthyglau/c36r9xx2w80o;Ond Amdani, nofel i oedolion, oedd y gyfrol gyntaf iddi gyhoeddi yn 1997 pan oedd hi'n 34 mlwydd oed.;mlwydd;blwydd;NM;L;34
135;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;cyfrifoldebau;cyfrifoldeb;no_SM;no_mutation;no_mutation
136;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;nghyd-destun;cyd-destun;NM;L;yng
137;40;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Byddwn yn eu hatgoffa o'u cyfrifoldebau fel aelodau etholedig yng nghyd-destun yr iaith Gymraeg.;Gymraeg;Cymraeg;SM;MS;fem_sing_noun_modifier
138;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;gyrraedd;cyrraedd;SM;L;i
139;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;filiwn;miliwn;SM;L;o
140;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;Gymraeg;Cymraeg;SM;MS;def_art_fem_sing_noun
141;41;https://www.bbc.com/cymrufyw/erthyglau/cvgzd5839gpo;Rydym mynd i gyrraedd ein targed o filiwn o siaradwyr Cymraeg a dyblu'r defnydd o'r Gymraeg ym mywyd beunyddiol erbyn 2050.;mywyd;bywyd;NM;L;ym
142;42;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae masnachwyr mewn marchnad yng Nghaerdydd wedi dweud eu bod yn teimlo'n dorcalonnus.;Nghaerdydd;Caerdydd;NM;L;yng
143;42;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae masnachwyr mewn marchnad yng Nghaerdydd wedi dweud eu bod yn teimlo'n dorcalonnus.;dorcalonnus;torcalonnus;SM;MS;yn_complement_adj_noun
144;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;farchnad;marchnad;SM;MS;def_art_fem_sing_noun
145;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;boblogaidd;poblogaidd;SM;MS;yn_complement_adj_noun
146;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;chasglwyr;casglwr;AM;L;a
147;43;https://www.bbc.com/cymrufyw/erthyglau/ckgpwdjvy00o;Mae'r farchnad, sy'n boblogaidd ymhlith prynwyr propiau teledu a chasglwyr, wedi bod ar agor ers 12 mlynedd.;mlynedd;blwyddyn;NM;L;12
148;44;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae'n anodd gweld amser i fod yn chi ac ymlacio a chael amser hamddenol gyda'ch teulu chi.;fod;bod;SM;L;i
149;44;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae'n anodd gweld amser i fod yn chi ac ymlacio a chael amser hamddenol gyda'ch teulu chi.;chael;cael;AM;L;a
150;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;falch;balch;SM;MS;yn_complement_adj_noun
151;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;wasgaru;gwasgaru;SM;L;ei
152;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;ddwy;dau;SM;L;dros
153;45;https://www.bbc.com/cymrufyw/erthyglau/cp8d3161xlzo;Mae Dewi, 15, yn falch bod y gwaith yn cael ei wasgaru dros ddwy flynedd.;flynedd;blwyddyn;SM;L;ddwy
154;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;ngofal;cofal;NM;L;yng
155;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;Nghaernarfon;Caernarfon;NM;L;yng
156;46;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae Siôn, sy'n derbyn gofal yng ngofal Bryn Mawr yng Nghaernarfon, yn falch iawn o'u cael yno;falch;balch;SM;MS;yn_complement_adj_noun
157;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;leol;lleol;SM;MS;fem_sing_noun_modifier
158;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;gallu;gallu;no_SM;no_mutation;no_mutation
159;47;https://www.bbc.com/cymrufyw/erthyglau/cn7pyjzllnro;Mae'n gallu bod yn anodd ofnadwy i recriwtio pobl leol yma ym Mryn Mawr.;Mryn;Bryn;NM;L;ym
160;48;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Mae ei geiriau Wele'n Sefyll Rhwng y Myrtwydd yn cael ei chanu fwy nag unrhyw emyn arall.;chanu;canu;AM;L;ei
161;48;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Mae ei geiriau Wele'n Sefyll Rhwng y Myrtwydd yn cael ei chanu fwy nag unrhyw emyn arall.;fwy;mwy;SM;MS;adverb_time_place_manner
162;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;ges;cael;SM;L;fe
163;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;wefr;gwefr;SM;MS;direct_object_mutation
164;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;ngwefru;gwefru;NM;L;fy
165;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;daith;taith;SM;L;ar
166;49;https://www.bbc.com/cymrufyw/erthyglau/c93x53lgxq7o;Fe ges wefr a fy ngwefru'r noson honno, a byth ers hynny rydw i wedi bod ar daith o ddod i adnabod Ann.;ddod;dod;SM;L;o
167;50;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;Mae diffoddwyr tân yn delio ag achosion o danau gwyllt ym Mhowys.;danau;tanau;SM;L;o
168;50;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;Mae diffoddwyr tân yn delio ag achosion o danau gwyllt ym Mhowys.;Mhowys;Powys;NM;L;ym
169;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";tân;tân;no_NM;no_mutation;no_mutation
170;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";Genedlaethol;Cenedlaethol;SM;MS;fem_sing_noun_modifier
171;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";Mhont-rhyd-y-groes;Pont-rhyd-y-groes;NM;L;ym
172;51;https://www.bbc.com/cymrufyw/erthyglau/c5ye08l4pneo;"Mae'r Ymddiriedolaeth Genedlaethol wedi cau Ystâd Hafod ym Mhont-rhyd-y-groes i ymwelwyr ""fel mesur rhagofal"" oherwydd y tân yng Nghwm Elan.";Nghwm;cwm;NM;L;yng
173;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;wnaeth;gwneud;SM;L;fe
174;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;brynu;prynu;SM;MS;direct_object_mutation
175;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;bum;pump;SM;MS;adverb_time_place_manner
176;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;cartref;cartref;no_AM;no_mutation;no_mutation
177;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;mlynedd;blwyddyn;NM;L;bum
178;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;Barri;Barri;no_NM;no_mutation;no_mutation
179;52;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Fe wnaeth y cwpl brynu eu cartref cyntaf gyda'i gilydd bum mlynedd yn ôl, gyda golygfa o draeth Ynys y Barri.;draeth;traeth;SM;L;o
180;53;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Dach chi'n ymddiried mewn cyfreithwyr i ddelio gyda phethau fel hyn.;cyfreithwyr;cyfreithwyr;no_NM;no_mutation;no_mutation
181;53;https://www.bbc.com/cymrufyw/erthyglau/cd6py6pnpd3o;Dach chi'n ymddiried mewn cyfreithwyr i ddelio gyda phethau fel hyn.;phethau;pethau;AM;L;gyda
182;54;https://www.bbc.com/cymrufyw/erthyglau/cx21gz305l2o;North hefyd ydy'r unig Gymro i chwarae yn rownd yr wyth olaf yng Nghwpan y Byd ar bedair achlysur.;Byd;byd;no_SM;no_mutation;no_mutation
183;54;https://www.bbc.com/cymrufyw/erthyglau/cx21gz305l2o;North hefyd ydy'r unig Gymro i chwarae yn rownd yr wyth olaf yng Nghwpan y Byd ar bedair achlysur.;Nghwpan;cwpan;NM;L;yng
184;55;https://www.bbc.com/cymrufyw/erthyglau/cx21gz305l2o;Ychwanegodd bod sawl moment sy'n golygu ei bod hi'n anodd crisialu a chrynhoi ei yrfa.;crisialu;crisialu;no_SM;no_mutation;no_mutation
185;55;https://www.bbc.com/cymrufyw/erthyglau/cx21gz305l2o;Ychwanegodd bod sawl moment sy'n golygu ei bod hi'n anodd crisialu a chrynhoi ei yrfa.;chrynhoi;crynhoi;AM;L;a
186;56;https://www.bbc.com/cymrufyw/erthyglau/clypljlel3xo;Mae 200 tunnell o wastraff masnachol wedi mynd ar dân ar safle ym Mhort Talbot.;tunnell;tunnell;no_NM;no_mutation;no_mutation
187;56;https://www.bbc.com/cymrufyw/erthyglau/clypljlel3xo;Mae 200 tunnell o wastraff masnachol wedi mynd ar dân ar safle ym Mhort Talbot.;mynd;mynd;no_SM;no_mutation;no_mutation
188;56;https://www.bbc.com/cymrufyw/erthyglau/clypljlel3xo;Mae 200 tunnell o wastraff masnachol wedi mynd ar dân ar safle ym Mhort Talbot.;Mhort;Port;NM;L;ym
189;57;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Maen nhw'n annog pobl i ddilyn cynghorion diogelwch er mwyn arbed cefn gwlad a chymunedau rhag effeithiau tanau o'r fath.;gwlad;gwlad;no_NM;no_mutation;no_mutation
190;57;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Maen nhw'n annog pobl i ddilyn cynghorion diogelwch er mwyn arbed cefn gwlad a chymunedau rhag effeithiau tanau o'r fath.;pobl;pobl;no_SM;no_mutation;no_mutation
191;57;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Maen nhw'n annog pobl i ddilyn cynghorion diogelwch er mwyn arbed cefn gwlad a chymunedau rhag effeithiau tanau o'r fath.;chymunedau;cymuned;AM;L;a
192;58;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Bydd yr hofrennydd yn gollwng dŵr ar ardaloedd lle mae adar yn nythu a lle mae mamaliaid bach a phlanhigion prin.;bach;bach;no_NM;no_mutation;no_mutation
193;58;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Bydd yr hofrennydd yn gollwng dŵr ar ardaloedd lle mae adar yn nythu a lle mae mamaliaid bach a phlanhigion prin.;dŵr;dŵr;no_SM;no_mutation;no_mutation
194;58;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Bydd yr hofrennydd yn gollwng dŵr ar ardaloedd lle mae adar yn nythu a lle mae mamaliaid bach a phlanhigion prin.;phlanhigion;planhigion;AM;L;a
195;59;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Mae'r broblem wedi bod yn digwydd ers sawl blwyddyn a bod pobl leol yn flin gyda Chyngor Sir y Fflint am beidio â gweithredu.;digwydd;digwydd;no_NM;no_mutation;no_mutation
196;59;https://www.bbc.com/cymrufyw/erthyglau/clyp8j0611po;Mae'r broblem wedi bod yn digwydd ers sawl blwyddyn a bod pobl leol yn flin gyda Chyngor Sir y Fflint am beidio â gweithredu.;Chyngor;cyngor;AM;L;gyda
197;60;https://www.bbc.com/cymrufyw/erthyglau/cn0plr6zyr6o;Mae cost diffyg gweithredu yn costio i bobl, gyda chyfuniad gwenwynig o gyflogau isel a biliau uchel.;costio;costio;no_NM;no_mutation;no_mutation
198;60;https://www.bbc.com/cymrufyw/erthyglau/cn0plr6zyr6o;Mae cost diffyg gweithredu yn costio i bobl, gyda chyfuniad gwenwynig o gyflogau isel a biliau uchel.;gwenwynig;gwenwynig;no_SM;no_mutation;no_mutation
199;60;https://www.bbc.com/cymrufyw/erthyglau/cn0plr6zyr6o;Mae cost diffyg gweithredu yn costio i bobl, gyda chyfuniad gwenwynig o gyflogau isel a biliau uchel.;chyfuniad;cyfuniad;AM;L;gyda
